labels,n_trials,best_cv_auc,median_trial_cv_auc,locked_test_auc,locked_test_pr_auc,test_base_rate
real,40,0.5073464005349884,0.49847199117839114,0.5057755995571833,0.030267287252061008,0.028575546827141363
permuted,40,0.5020622701834483,0.4982093708559664,0.5028495122065084,0.02960825618231791,0.028575546827141363
